Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Outdoor Air Relative Humidity [%](Daily),Environment:Site Wind Speed [m/s](Daily),Environment:Site Wind Direction [deg](Daily),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),THERMAL ZONE: BOX:Zone Outdoor Air Wind Speed [m/s](Daily),GSHPCLG:Heat Pump Electric Power [W](Daily),GSHPCLG:Heat Pump Source Side Inlet Temperature [C](Daily),GSHPHEATING:Heat Pump Electric Power [W](Daily),GSHPHEATING:Heat Pump Source Side Inlet Temperature [C](Daily) ,THERMAL ZONE: BOX:Zone Mean Air Temperature [C](Daily)
 06/06,12.03194444,9.07843915,69.91319444,6.4875,51.90972222,318.9791667,91.3599537,306.2083333,3.063402028,109.3315719,13.52466562,0,13.52466562,18.28278521
 06/07,16.93194444,14.25711174,76.67708333,3.44375,75.79861111,348.9895833,156.4861111,63.83333333,1.626141154,125.7647647,13.53529301,0,13.53529301,18.64638741
 06/08,18.09930556,15.09678323,74.37152778,4.896527778,208.1597222,359.3541667,109.1342593,240.2083333,2.312143834,155.6438291,13.55085733,0,13.55085733,19.47660303
 06/09,15.96770833,12.89440474,71.66319444,3.982638889,266.7708333,353.5555556,160.6145833,45.625,1.880604863,108.0112985,13.5499868,0,13.5499868,18.80230249
 06/10,14.26736111,10.876007,67.45833333,3.697222222,235.0694444,335.2152778,166.0358796,46.75,1.745830914,85.60558572,13.54743799,0,13.54743799,18.04777045
 06/11,13.39618056,11.9031647,84.44097222,4.661111111,218.9930556,346.0902778,113.4930556,3.708333333,2.20097992,96.74187355,13.55303201,0,13.55303201,17.6818391
 06/12,14.13680556,9.770152373,59.11458333,4.4125,255.9722222,325.9166667,136.1076389,208.875,2.08358558,101.7275635,13.55980014,0,13.55980014,17.8581456
 06/13,11.871875,9.019124265,70.89236111,4.188888889,218.1944444,321.5451389,162.7395833,35.125,1.977996257,103.9941705,13.56686068,0,13.56686068,18.04220995
 06/14,12.82673611,8.625951974,58.22222222,6.267013889,281.2152778,323.2152778,115.7604167,246.7083333,2.959288332,109.5100106,13.57398713,0,13.57398713,18.13867749
 06/15,11.28888889,7.195062655,57.1875,4.557638889,315.1041667,307.28125,148.59375,170.2083333,2.152120264,103.7157755,13.57912321,0,13.57912321,18.02833589
 06/16,11.14444444,8.313992163,69.75347222,0.758333333,112.0833333,317.1180556,113.6006944,2,0.358085529,52.45903951,13.57264461,0,13.57264461,16.81636198
 06/17,14.68645833,11.01750015,65.74305556,1.553125,127.8819444,339.1388889,110.6423611,215.9166667,0.733386709,56.55778728,13.57323446,0,13.57323446,16.99543266
 06/18,14.10486111,11.26014074,72.26041667,2.151041667,70.86805556,334.4236111,130.2430556,177.6666667,1.015723376,120.9927328,13.59222276,0,13.59222276,18.76457483
 06/19,15.07222222,9.231164541,50.5625,2.787847222,43.71527778,315.8819444,113.1493056,284.5,1.316423404,131.9466784,13.60538224,0,13.60538224,19.16528129
 06/20,16.41979167,12.47695382,65.45833333,5.511805556,50.59027778,334.0034722,113.8854167,250.7083333,2.60267843,146.0819903,13.61720112,0,13.61720112,19.60399259
 06/21,15.39756944,12.72777822,76.03819444,3.453819444,53.99305556,346.9756944,133.9027778,136.5833333,1.630895952,137.5278918,13.62337763,0,13.62337763,19.34303462
