Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Relative Humidity [%](Daily),Environment:Site Wind Speed [m/s](Daily),Environment:Site Wind Direction [deg](Daily),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),THERMAL ZONE: BOX:Zone Outdoor Air Wetbulb Temperature [C](Daily),THERMAL ZONE: BOX:Zone Outdoor Air Wind Speed [m/s](Daily),THERMAL ZONE: BOX:Zone Mean Air Temperature [C](Daily) 
 08/26,13.40138889,85.22222222,3.662847222,226.3194444,336.1006944,116.0740741,51.625,11.91590643,1.729599015,19.67094083
 08/27,13.79895833,82.24652778,1.539930556,232.7083333,342.0555556,114.9849537,37.25,11.97324602,0.727156283,19.95323396
 08/28,13.58854167,83.64583333,2.950347222,221.5625,336.5555556,113.0578704,66.08333333,11.86299737,1.393156018,20.23371237
 08/29,13.68541667,73.81597222,6.521875,315.9375,326.7395833,111.9375,32.5,11.04661515,3.079633927,20.06296445
 08/30,12.95208333,80.53125,3.846180556,311.4236111,334.0520833,95.6087963,27.29166667,11.06993515,1.816169143,19.55206218
 08/31,13.45902778,67.68402778,3.75,312.0486111,320.4965278,115.7048611,54.75,10.09057104,1.770752617,18.43341206
 09/01,16.21736111,70.42708333,1.769097222,257.3611111,363.3854167,109.1770833,31.75,12.9913119,0.835368943,18.06197237
 09/02,14.721875,73.57986111,3.196180556,311.1805556,344.15625,108.3576389,29.20833333,11.98670362,1.509238689,18.69063869
 09/03,13.17569444,70.20138889,2.970486111,278.6111111,325.7430556,104.369213,88.41666667,10.11305742,1.402665615,18.26845319
 09/04,13.34756944,81.71527778,1.110069444,181.4930556,335.9861111,80.84953704,141.25,11.35645846,0.524175566,18.56692408
 09/05,12.865625,81.52430556,2.940972222,259.0972222,336.8090278,101.9328704,28.5,11.03678527,1.388729136,18.19261347
 09/06,14.59201389,74.03472222,3.624652778,186.25,347.8125,104.4409722,28.20833333,11.7666459,1.711563572,17.68959441
 09/07,15.76041667,92.69097222,4.917361111,91.25,362.2118056,95.95833333,18,14.99386529,2.321981349,16.75225001
 09/08,15.41458333,78.17013889,4.553125,293.6458333,355.6493056,102.7569444,26,13.10218339,2.149988803,16.42415739
 09/09,15.534375,69.9375,3.520486111,246.7708333,332.0798611,77.48263889,191.2083333,12.16124058,1.662375999,18.2886291
 09/10,12.72881944,86.16666667,2.022222222,128.7847222,328.9340278,87.39236111,61.875,11.28004383,0.954894745,18.31246393
 09/11,14.33159722,76.31597222,3.519097222,271.2152778,342.2013889,93.37152778,105.8333333,11.7746579,1.661720165,17.93734095
 09/12,11.921875,84.14236111,1.958680556,154.6875,327.6458333,91.15509259,76.08333333,10.35439147,0.924890325,18.11035335
 09/13,12.36076389,83,0.621527778,129.7222222,328.4618056,93.1724537,87.79166667,10.59423294,0.29348585,17.69614518
 09/14,12.02673611,88.13541667,1.759027778,97.04861111,320.4340278,83.49768519,16.75,10.81998234,0.830614144,16.16804552
 09/15,12.69965278,94.19097222,2.996180556,78.54166667,350.9895833,70.77662037,6.166666667,12.15619994,1.41479855,15.15100413
 09/16,12.821875,88.01736111,3.099305556,82.74305556,338.4340278,82.83796296,19.875,11.67045973,1.463494247,15.87814243
 09/17,13.64270833,90.03125,3.8625,37.56944444,351.7291667,87.04861111,19.41666667,12.66373537,1.823875196,16.55113254
 09/18,15.88819444,83.15625,5.663194444,37.56944444,359.4409722,85.7974537,86.60185185,14.0511955,2.674164369,17.56045147
 09/19,14.66111111,75.17361111,5.807638889,25.27777778,348.7881944,82.94675926,89.75,12.08244408,2.742371137,18.43077147
 09/20,12.28506944,76.25347222,3.161458333,216.1458333,319.2986111,89.18055556,35.16666667,9.916082175,1.492842832,17.89977004
 09/21,13.84583333,77.11111111,1.95,313.4722222,325.9027778,83.75694444,33.29166667,11.34204753,0.920791361,16.06187376
 09/22,14.81319444,78.02777778,2.672222222,267.3263889,353.1597222,82.87152778,36.79166667,12.5155878,1.261825198,16.38352499
 09/23,13.025,72.47916667,3.175,256.6666667,315.0104167,51.42708333,219.9166667,10.16394801,1.499237216,17.80018738
 09/24,11.51493056,75.58333333,6.769097222,276.1111111,322.6319444,66.95138889,142.2916667,9.261786858,3.196372433,18.01207078
 09/25,11.77777778,78.93055556,4.939236111,232.7083333,321.6631944,81.625,33.29166667,9.804515184,2.332310739,16.72070825
 09/26,13.73611111,85.56944444,3.486805556,254.8263889,341.9236111,60.95138889,6.5,12.34907898,1.646472017,16.67942981
 09/27,10.81145833,67.82291667,6.125,263.6458333,307.8958333,56.5,179,7.818999806,2.892229275,16.77316032
 09/28,8.625,73.90625,2.765972222,266.4583333,294.6180556,61.31481481,167.375,6.395749353,1.306094014,15.45348543
 09/29,9.409027778,75.88888889,2.345833333,232.7083333,300.4097222,69.30787037,138.625,7.125439665,1.107704137,14.91838574
 09/30,9.901388889,87.39930556,2.334027778,112.8125,316.21875,68.61805556,56.875,8.685800044,1.102129546,15.82799187
 10/01,9.282291667,75.41666667,3.263194444,177.0833333,300.4305556,70.07638889,84.70833333,7.036106273,1.540882694,14.87409298
 10/02,9.275347222,78.72222222,1.915972222,148.7847222,295.6423611,54.3900463,170.7083333,7.235332127,0.904723421,14.37989063
 10/03,8.355902778,84.42708333,1.403472222,145.625,298.8715278,69.34606481,68.58333333,6.915259647,0.662720563,13.8479916
 10/04,9.982986111,89.82638889,3.379861111,145.5902778,321.5798611,56.82523148,7.208333333,9.040860062,1.595972776,13.27089313
 10/05,11.67638889,82.27777778,3.625694444,239.9652778,326.7291667,63.35648148,74.625,9.9894402,1.712055447,12.56146219
 10/06,11.51597222,70.44791667,7.282986111,235.9722222,321.1770833,56.40972222,144.1666667,8.716382833,3.439031125,12.87644308
 10/07,9.745833333,59.67361111,8.516666667,263.3333333,301.0798611,62.32986111,104.2083333,6.150301888,4.021575944,13.46634219
 10/08,10.13958333,75.97569444,6.763194444,222.8472222,318.5173611,63.51388889,12.58333333,8.074707045,3.193585137,12.8816152
 10/09,10.09375,84.69791667,3.760763889,245.8333333,318.75,62.85763889,13.58333333,8.731609908,1.775835333,13.18988518
 10/10,7.110069444,76.54513889,3.497222222,227.0833333,290.2569444,63.47222222,57.5,5.122525037,1.651390774,12.57272532
 10/11,7.888194444,83.02083333,6.203472222,88.78472222,296.9131944,62.09490741,14.625,6.455867859,2.929283913,12.02291646
 10/12,9.842013889,90.79861111,3.484027778,112.4305556,325.4375,62.48958333,34.45833333,9.035676672,1.645160348,11.46907442
 10/13,9.112847222,86.06944444,2.954513889,168.6111111,308.6145833,60.80902778,26.25,7.869725234,1.39512352,11.25154027
 10/14,8.065277778,94.09027778,2.286458333,31.07638889,299.2152778,41.31018519,0.625,7.55075982,1.079667221,11.56191628
 10/15,11.24930556,92.24305556,4.238194444,57.98611111,347.9409722,40.89236111,0.75,10.56098531,2.001278375,12.33908954
